,Trade_Date,day_of_week,RSI,Chaikin,Adj_Close
2001-02-02,2001-02-02,Friday,,,19.357029
2001-02-09,2001-02-09,Friday,,,18.819891
2001-02-16,2001-02-16,Friday,,-21643164.73088047,18.242958
2001-02-23,2001-02-23,Friday,39.712512194985486,-20889612.289113313,18.063908
2001-03-02,2001-03-02,Friday,40.923756023880564,10577004.585307345,18.04402
2001-03-09,2001-03-09,Friday,42.57092386028291,16090378.848274335,18.04402
2001-03-16,2001-03-16,Friday,41.775792465049236,-595355.8237279952,17.367615
2001-03-23,2001-03-23,Friday,50.42645474013998,1130043.4629505128,18.004221
2001-03-30,2001-03-30,Friday,46.17556176996099,-17194974.872619063,17.407396
2001-04-06,2001-04-06,Friday,50.844592682290276,-23160783.56711057,17.884861
2001-04-20,2001-04-20,Friday,70.98087158142384,56264712.02954824,21.96316
2001-04-27,2001-04-27,Friday,61.80258667606402,1803921.994573351,21.364761
2001-05-04,2001-05-04,Friday,65.70902768025282,-11735126.762773044,22.520208
2001-05-11,2001-05-11,Friday,58.98202534870893,202263.5769436285,22.09049
2001-05-18,2001-05-18,Friday,53.83940522248075,-28392918.671528563,21.673504
2001-05-25,2001-05-25,Friday,59.96260610747076,6189405.47018642,22.571133
2001-06-01,2001-06-01,Friday,57.06642036143618,-23597164.340819046,22.389698
2001-06-08,2001-06-08,Friday,63.71034568900756,50957860.840479806,23.296873
2001-06-15,2001-06-15,Friday,42.71757796522022,27811483.45232603,21.651228
2001-06-22,2001-06-22,Friday,47.50431418552982,18338153.458329413,21.909054
2001-06-29,2001-06-29,Friday,61.92416162517787,51698172.42126651,23.236389
2001-07-06,2001-07-06,Friday,37.825704939925394,-16770908.976985648,21.027344
2001-07-13,2001-07-13,Friday,55.872443429022745,-1116522.3298873678,22.708
2001-07-20,2001-07-20,Friday,48.35696976885377,63646194.99775639,22.020464
2001-07-27,2001-07-27,Friday,40.61948229935652,47233113.59712535,20.839546
2001-08-03,2001-08-03,Friday,45.72480927951575,28529603.441412628,21.291544
2001-08-10,2001-08-10,Friday,42.73871779806851,7395185.17753306,20.855457
2001-08-17,2001-08-17,Friday,34.93937033607848,-5469938.4134348035,19.696819
2001-08-24,2001-08-24,Friday,41.993216844221465,6283036.764922202,19.750938
2001-08-31,2001-08-31,Friday,31.346371657997807,-46533409.489130214,18.159399
2001-09-07,2001-09-07,Friday,31.565065913076406,-103330391.62637082,17.634193
2001-09-21,2001-09-21,Friday,28.485401570439116,-49472025.16929149,15.82303
2001-09-28,2001-09-28,Friday,36.673448234751156,32972006.174537797,16.287758
2001-10-05,2001-10-05,Friday,55.52451524094795,66790398.86449626,18.372667
2001-10-12,2001-10-12,Friday,51.51330135052547,74747339.09023806,17.946129
2001-10-19,2001-10-19,Friday,54.68392129811244,70815117.78070414,18.429968
2001-10-26,2001-10-26,Friday,63.99532913312732,100746861.92870373,19.798681
2001-11-02,2001-11-02,Friday,58.234106282676024,18593576.007071793,19.544037
2001-11-09,2001-11-09,Friday,65.51888757720053,18815961.76856035,20.756783
2001-11-16,2001-11-16,Friday,61.99531793015621,1743044.964882195,20.928669
2001-11-23,2001-11-23,Friday,56.14776467991184,-11708738.823764503,20.59763
2001-11-30,2001-11-30,Friday,53.10255557927728,-14502343.469491184,20.438477
2001-12-07,2001-12-07,Friday,61.75941218914244,59893569.541687846,21.590748
2001-12-14,2001-12-14,Friday,57.74493996406148,16686528.297185302,21.466616
2001-12-21,2001-12-21,Friday,54.574681180299166,19038478.393161297,21.498436
2001-12-28,2001-12-28,Friday,55.61866440965887,-15503686.920527577,21.603483
2002-01-04,2002-01-04,Friday,57.90255593390271,6450489.299005866,21.931334
2002-01-11,2002-01-11,Friday,54.75715012569944,-34658880.229319215,21.839025
2002-01-18,2002-01-18,Friday,44.33541825574776,-11152676.774120212,21.04007
2002-01-25,2002-01-25,Friday,39.39312852616521,-48158947.82719338,20.307974
2002-02-01,2002-02-01,Friday,38.57329632961648,-1962036.2709116936,19.945103
2002-02-08,2002-02-08,Friday,35.746182196555466,-52294400.50340176,19.305315
2002-02-15,2002-02-15,Friday,38.110810871322165,-22333994.795497537,19.171618
2002-02-22,2002-02-22,Friday,33.97625184051405,-45886096.743209004,18.458616
2002-03-01,2002-03-01,Friday,50.921172551459684,-47068985.99606314,19.534485
2002-03-08,2002-03-08,Friday,58.39986933631752,22422234.83913976,20.355724
2002-03-15,2002-03-15,Friday,51.8541969802957,21502188.504519343,19.890985
2002-03-22,2002-03-22,Friday,44.81345919714282,569722.3959003091,19.241638
2002-04-05,2002-04-05,Friday,32.69574813674615,-29222602.54806727,17.7838
2002-04-12,2002-04-12,Friday,40.48619051424846,-20204490.926020145,17.802898
2002-04-19,2002-04-19,Friday,46.80715619330455,-14483358.053589284,18.207144
2002-04-26,2002-04-26,Friday,33.01707969695738,-69564928.86638524,16.392799
2002-05-03,2002-05-03,Friday,30.69968565121573,-84305056.81559461,15.775287
2002-05-10,2002-05-10,Friday,40.490353056042764,-66402371.72357032,15.931255
2002-05-17,2002-05-17,Friday,55.05432252111602,6461567.171214633,17.834723
2002-05-24,2002-05-24,Friday,48.06829170787931,11490791.367391244,16.95302
2002-05-31,2002-05-31,Friday,42.56102925025041,-18496938.623640656,16.205
2002-06-07,2002-06-07,Friday,47.47965795149679,18038710.468072414,16.54558
2002-06-14,2002-06-14,Friday,56.65093509419577,52729162.758374795,17.586451
2002-06-21,2002-06-21,Friday,45.64185913113189,-65194351.149034366,16.641075
2002-06-28,2002-06-28,Friday,53.37855553815274,17217938.95626974,17.411377
2002-07-05,2002-07-05,Friday,54.205763489428136,-15470739.793072373,17.459124
2002-07-12,2002-07-12,Friday,45.464155123395194,-50138364.38841128,16.507395
2002-07-19,2002-07-19,Friday,38.98541866883275,-37689406.089502394,15.775287
2002-07-26,2002-07-26,Friday,38.993704033878835,-34910343.78885859,14.435214
2002-08-02,2002-08-02,Friday,38.53386462919057,33143003.38614899,14.136003
2002-08-09,2002-08-09,Friday,49.15702865817044,30958061.37871602,15.316921
2002-08-16,2002-08-16,Friday,54.012414514689,46008811.977330536,15.915339
2002-08-23,2002-08-23,Friday,57.5000623437303,81010198.04836792,16.621979
2002-08-30,2002-08-30,Friday,47.391064529149816,2369497.0455793357,15.6225
2002-09-06,2002-09-06,Friday,46.116565514211686,-58399597.0788763,15.221432
2002-09-13,2002-09-13,Friday,46.88106200463425,-21259984.694518223,15.250075
2002-09-20,2002-09-20,Friday,46.0362257584302,-37107833.04630405,15.106836
2002-09-27,2002-09-27,Friday,40.5810645813023,-67406550.8705121,14.403378
2002-10-04,2002-10-04,Friday,39.16772366478926,-99173085.16099584,13.932286
2002-10-11,2002-10-11,Friday,57.6384648648318,-42368064.66065729,15.555649
2002-10-18,2002-10-18,Friday,64.9475105401829,61148980.299352586,16.918001
2002-10-25,2002-10-25,Friday,59.78060937973435,106001084.18972929,16.768396
2002-11-01,2002-11-01,Friday,59.30953805038474,101459634.91490893,16.870264
2002-11-08,2002-11-08,Friday,60.26940267364714,83984443.55140316,17.538698
2002-11-15,2002-11-15,Friday,62.74821022380706,66486381.67314425,18.044815
2002-11-22,2002-11-22,Friday,64.39464254330576,84004489.4199695,18.53182
2002-11-29,2002-11-29,Friday,59.91798055141512,32538557.012746572,18.359936
2002-12-06,2002-12-06,Friday,49.724309940656,-24567957.716158986,17.656483
2002-12-13,2002-12-13,Friday,39.28296869744715,-39818568.891818285,16.711098
2002-12-20,2002-12-20,Friday,42.76200142089143,-60188145.83118302,16.882994
2002-12-27,2002-12-27,Friday,42.990495413593216,-60001731.40818876,16.86071
2003-01-03,2003-01-03,Friday,49.076479137574424,-4748082.477063954,17.121723
2003-01-10,2003-01-10,Friday,56.968383824152966,48729231.73263718,17.799715
2003-01-17,2003-01-17,Friday,38.09996526156594,-34171427.31724967,16.380056
2003-01-24,2003-01-24,Friday,35.788874997093636,-121689993.2366308,15.867599
2003-01-31,2003-01-31,Friday,32.1732806893175,-100189307.48928457,15.106836
2003-02-07,2003-02-07,Friday,33.349947793483686,-72853043.91919798,14.826727
2003-02-14,2003-02-14,Friday,44.438921956372276,-5680915.411952019,15.374211
2003-02-21,2003-02-21,Friday,49.7437014655341,27016956.83367428,15.730212
2003-02-28,2003-02-28,Friday,43.22284373658595,-12443284.912198752,15.136256
2003-03-07,2003-03-07,Friday,44.47131321738805,-25885208.097883105,15.046841
2003-03-14,2003-03-14,Friday,57.74880448988156,38550180.406146824,15.877098
2003-03-21,2003-03-21,Friday,67.92152168420185,136979870.05718863,16.96921
2003-03-28,2003-03-28,Friday,48.530461247644055,34700014.04090981,15.755758
2003-04-04,2003-04-04,Friday,51.62320112093566,-24586847.2675786,16.023993
2003-04-11,2003-04-11,Friday,44.04524730451265,-74471497.24786359,15.455586
2003-04-25,2003-04-25,Friday,51.520894878718735,-3760841.4312850237,16.107018
2003-05-02,2003-05-02,Friday,59.05086190803208,-3357050.3675575554,16.669041
2003-05-09,2003-05-09,Friday,58.75824367567037,-14783058.44988525,16.835094
2003-05-16,2003-05-16,Friday,49.38446406119957,-39660683.17861843,16.330551
2003-05-23,2003-05-23,Friday,37.988181418903,-83761036.52127212,15.468358
2003-05-30,2003-05-30,Friday,44.546985590078556,-71824174.4461,15.717433
2003-06-06,2003-06-06,Friday,35.515128448092845,-119935670.44768918,15.117092
2003-06-13,2003-06-13,Friday,48.47544247207594,-30862880.47501421,15.742977
2003-06-20,2003-06-20,Friday,64.3332971821605,29894298.651640177,16.815931
2003-06-27,2003-06-27,Friday,53.995147222636994,-30867606.486293554,16.36887
2003-07-11,2003-07-11,Friday,62.00522612436402,39618066.63775563,17.441814
2003-07-18,2003-07-18,Friday,54.910643990601635,-2210748.425044775,17.173584
2003-07-25,2003-07-25,Friday,54.47364899160172,-21541472.808576465,17.173584
2003-08-01,2003-08-01,Friday,47.51957575834261,-62441069.4132489,16.713749
2003-08-08,2003-08-08,Friday,41.77189951592127,-57162001.871132255,16.336939
2003-08-15,2003-08-15,Friday,41.79536386861686,-28710980.533340693,16.311388
2003-08-22,2003-08-22,Friday,52.08906572167451,-646604.1527887583,16.745678
2003-08-29,2003-08-29,Friday,55.78753534503511,28247153.683894634,16.937277
2003-09-05,2003-09-05,Friday,74.01736333874184,98808904.22998846,18.125189
2003-09-12,2003-09-12,Friday,63.29262520194001,38577916.83064568,18.099638
2003-09-19,2003-09-19,Friday,71.60037757573062,64572843.912466645,19.134272
2003-09-26,2003-09-26,Friday,51.316878511395856,-14935360.415704608,18.003836
2003-10-03,2003-10-03,Friday,57.009198185971556,-15462971.425208569,18.572247
2003-10-10,2003-10-10,Friday,54.809775808348036,-30071380.348497152,18.46368
2003-10-17,2003-10-17,Friday,55.253671988471865,1363048.8817394972,18.580099
2003-10-24,2003-10-24,Friday,33.76807193973755,-15606301.500568628,17.090103
2003-10-31,2003-10-31,Friday,33.53214470073965,-74333372.79736161,16.788246
2003-11-07,2003-11-07,Friday,36.58353159934704,-63593295.31687355,16.762556
2003-11-14,2003-11-14,Friday,33.05159787042917,-64878380.98187888,16.377209
2003-11-21,2003-11-21,Friday,31.95830277091045,-131883647.80763996,16.126734
2003-11-28,2003-11-28,Friday,43.79433472950747,-85790305.42471027,16.512089
2003-12-05,2003-12-05,Friday,48.66850131963193,-80701090.58734417,16.68549
2003-12-12,2003-12-12,Friday,57.86464486451435,2191359.92833972,17.115795
2003-12-19,2003-12-19,Friday,66.52827666955578,30055913.35673833,17.571787
2003-12-26,2003-12-26,Friday,61.63098490134037,13429303.002006054,17.475445
2004-01-02,2004-01-02,Friday,63.392873024722405,16376506.294093132,17.629587
2004-01-09,2004-01-09,Friday,58.17391377702707,17901763.82495475,17.764452
2004-01-16,2004-01-16,Friday,58.88975651895713,21346587.66837406,17.86079
2004-01-23,2004-01-23,Friday,65.18195888582062,20935262.886926055,18.291088
2004-01-30,2004-01-30,Friday,49.04114639575703,1309435.3648697138,17.758038
2004-02-06,2004-02-06,Friday,42.54825345774059,-45777689.15327525,17.391953
2004-02-13,2004-02-13,Friday,37.19500135940824,-45980232.38625169,17.077255
2004-02-20,2004-02-20,Friday,40.03341453455978,-73076956.29201078,17.064405
2004-02-27,2004-02-27,Friday,41.043357455449566,-40861341.760360956,17.038717
2004-03-05,2004-03-05,Friday,39.26108222772804,-16702309.478648186,16.923115
2004-03-12,2004-03-12,Friday,31.51168654611729,-97457680.00903535,16.300133
2004-03-19,2004-03-19,Friday,24.040759414749022,-85753467.1563139,15.818463
2004-03-26,2004-03-26,Friday,41.476319146605604,-43070266.87922573,16.075352
2004-04-02,2004-04-02,Friday,55.256802317155206,20460901.467731,16.601997
2004-04-16,2004-04-16,Friday,43.97419080625104,-33952750.920320034,16.158844
2004-04-23,2004-04-23,Friday,72.10056813220326,23235584.21862936,17.687382
2004-04-30,2004-04-30,Friday,51.928949303279325,-49057748.53995538,16.781822
2004-05-07,2004-05-07,Friday,46.42850948982186,-72781556.64879394,16.557045
2004-05-14,2004-05-14,Friday,47.46705448801855,981234.753865242,16.608416
2004-05-21,2004-05-21,Friday,49.45877465732543,-33286391.585511684,16.627682
2004-05-28,2004-05-28,Friday,55.26813212178489,25169346.093845844,16.846048
2004-06-04,2004-06-04,Friday,49.17885426178194,-7800550.526296139,16.666218
2004-06-18,2004-06-18,Friday,77.62140393346559,109266207.32989073,18.207602
2004-06-25,2004-06-25,Friday,78.49968890790161,92478583.57455778,18.348892
2004-07-02,2004-07-02,Friday,72.1754610009025,43532446.40482187,18.348892
2004-07-09,2004-07-09,Friday,53.73645047612921,5378359.551026583,17.892908
2004-07-16,2004-07-16,Friday,46.57944311230554,-11984170.993357658,17.648853
2004-07-23,2004-07-23,Friday,51.22411959793078,-114377119.64417124,18.002087
2004-07-30,2004-07-30,Friday,55.076509350226935,-53919106.231720686,18.297518
2004-08-06,2004-08-06,Friday,38.27171452917009,-71114671.94493008,17.430485
2004-08-13,2004-08-13,Friday,40.22345765770223,-45133247.4796443,17.353422
2004-08-20,2004-08-20,Friday,44.28879918805222,-25485059.99771762,17.469027
2004-08-27,2004-08-27,Friday,49.72779324659014,-17199516.11779642,17.688028
2004-09-03,2004-09-03,Friday,44.19690010477657,17048327.586884737,17.46258
2004-09-10,2004-09-10,Friday,51.50704774690502,18910398.584691048,17.707357
2004-09-17,2004-09-17,Friday,52.361440560877135,29852920.818072557,17.720236
2004-09-24,2004-09-24,Friday,48.45429664160523,-19373660.298968315,17.578527
2004-10-01,2004-10-01,Friday,65.52922321478498,22627098.97630787,18.196899
2004-10-08,2004-10-08,Friday,55.66556316812422,7616794.113048792,18.029425
2004-10-15,2004-10-15,Friday,54.65443578779045,-30939498.225720167,18.029425
2004-10-22,2004-10-22,Friday,47.01275602613077,-41256250.79597139,17.868387
2004-10-29,2004-10-29,Friday,50.49811411633708,-7352307.165111542,18.016542
2004-11-05,2004-11-05,Friday,68.13527038894264,44275887.775966406,18.879688
2004-11-12,2004-11-12,Friday,73.18929634663333,24669611.780920982,19.304813
2004-11-19,2004-11-19,Friday,63.64441203880804,-31164186.336652517,19.28327
2004-11-26,2004-11-26,Friday,57.21339243287924,-8585196.643614769,19.096611
2004-12-03,2004-12-03,Friday,65.23193451454546,1837847.8708662987,19.54891
2004-12-10,2004-12-10,Friday,57.46026565762591,20671758.273029327,19.441219
2004-12-17,2004-12-17,Friday,52.60207520123023,4087548.13264513,19.355072
2004-12-31,2004-12-31,Friday,45.35204788246403,-45789989.7339344,19.18277
2005-01-07,2005-01-07,Friday,43.946391616609134,-99142925.07012725,19.146877
2005-01-14,2005-01-14,Friday,31.880494947035622,-62589778.06315136,18.752016
2005-01-21,2005-01-21,Friday,27.807332866949203,-66822367.17347431,18.414598
2005-01-28,2005-01-28,Friday,44.73729630000254,-44249472.12799168,18.795094
